HJ-a;HJ-w;R-a;R-w;
0;0;0;0;
0,0176235;0,343554;0,0176228;0,34354;
0,0669931;0,63558;0,0669905;0,635557;
0,143154;0,880047;0,143149;0,880019;
0,241548;1,08089;0,24154;1,08086;
0,358007;1,24198;0,357996;1,24195;
0,488745;1,36707;0,48873;1,36704;
0,630344;1,45981;0,630327;1,45978;
0,779745;1,52367;0,779725;1,52365;
0,934227;1,56198;0,934206;1,56196;
1,09139;1,57786;1,09137;1,57785;
1,24915;1,57426;1,24913;1,57426;
1,40569;1,55393;1,40567;1,55393;
1,55946;1,51942;1,55944;1,51942;
1,70918;1,47307;1,70916;1,47308;
1,85376;1,41704;1,85374;1,41706;
1,99233;1,35329;1,99231;1,35331;
2,12422;1,28359;2,1242;1,28361;
2,2489;1,20953;2,24889;1,20956;
2,36603;1,13253;2,36601;1,13256;
2,47535;1,05384;2,47534;1,05386;
2,57677;0,974547;2,57677;0,974577;
2,67028;0,895615;2,67027;0,895646;
2,75594;0,817854;2,75594;0,817884;
2,83391;0,741952;2,83391;0,741981;
2,90441;0,668481;2,90441;0,66851;
2,9677;0,597908;2,96771;0,597935;
3,0241;0,530602;3,02411;0,530628;
3,07394;0,466846;3,07395;0,46687;
3,11759;0,406844;3,11761;0,406866;
3,15544;0,350731;3,15546;0,350751;
3,18787;0,298581;3,18789;0,298598;
3,21529;0,250413;3,21531;0,250427;
3,23809;0,206201;3,23811;0,206213;
3,25666;0,165879;3,25668;0,165888;
3,27139;0,129347;3,27141;0,129354;
3,28265;0,0964787;3,28267;0,0964839;
3,2908;0,0671242;3,29083;0,0671272;
3,29619;0,0411164;3,29621;0,0411173;
3,29913;0,0182744;3,29916;0,0182734;
3,29994;-0,00159164;3,29997;-0,00159451;
3,2989;-0,0186782;3,29893;-0,0186827;
3,29629;-0,0331846;3,29631;-0,0331906;
3,29235;-0,0453109;3,29237;-0,0453182;
3,2873;-0,0552551;3,28732;-0,0552636;
3,28136;-0,0632119;3,28138;-0,0632214;
3,27472;-0,0693705;3,27474;-0,0693808;
3,26754;-0,0739134;3,26756;-0,0739244;
3,25998;-0,0770156;3,26;-0,0770272;
3,25218;-0,0788435;3,2522;-0,0788554;
3,24425;-0,0795542;3,24427;-0,0795663;
3,2363;-0,0792952;3,23632;-0,0793074;
3,22842;-0,0782042;3,22843;-0,0782164;
3,22069;-0,0764088;3,2207;-0,076421;
3,21316;-0,0740267;3,21317;-0,0740386;
3,2059;-0,0711655;3,20591;-0,0711771;
3,19894;-0,067923;3,19895;-0,0679343;
3,19232;-0,0643879;3,19233;-0,0643987;
3,18607;-0,0606394;3,18607;-0,0606498;
3,1802;-0,0567484;3,1802;-0,0567582;
3,17472;-0,0527771;3,17473;-0,0527864;
3,16964;-0,0487803;3,16965;-0,048789;
3,16496;-0,0448052;3,16497;-0,0448133;
3,16068;-0,0408924;3,16068;-0,0408998;
3,15678;-0,0370759;3,15678;-0,0370827;
3,15326;-0,0333842;3,15326;-0,0333904;
3,1501;-0,0298404;3,1501;-0,029846;
3,14729;-0,0264626;3,14729;-0,0264677;
3,1448;-0,0232648;3,1448;-0,0232693;
3,14263;-0,020257;3,14263;-0,0202609;
3,14074;-0,0174456;3,14074;-0,017449;
3,13913;-0,0148341;3,13913;-0,014837;
3,13777;-0,0124234;3,13777;-0,0124257;
3,13664;-0,0102118;3,13664;-0,0102137;
3,13572;-0,00819593;3,13572;-0,00819744;
3,13499;-0,00637063;3,13499;-0,00637176;
3,13444;-0,00472938;3,13444;-0,00473016;
3,13404;-0,00326455;3,13404;-0,00326501;
3,13378;-0,00196766;3,13378;-0,00196783;
3,13364;-0,000829535;3,13364;-0,000829451;
3,13361;0,000159425;3,13361;0,000159737;
3,13367;0,00100914;3,13367;0,00100965;
3,13381;0,00172966;3,13381;0,00173034;
3,13401;0,00233108;3,13401;0,0023319;
3,13427;0,00282335;3,13427;0,0028243;
3,13457;0,00321628;3,13457;0,00321733;
3,13491;0,00351937;3,13491;0,00352049;
3,13528;0,00374179;3,13527;0,00374297;
3,13566;0,00389233;3,13566;0,00389355;
3,13605;0,00397933;3,13605;0,00398058;
3,13645;0,00401068;3,13645;0,00401193;
3,13685;0,00399377;3,13685;0,00399501;
3,13725;0,00393548;3,13725;0,00393672;
3,13764;0,00384223;3,13764;0,00384343;
